service_id,date,exception_type
0ANN0FER2018031920991231000002,20200914,1
0ANN0FER2019091120991231000002,20200914,1
0ANN0FER2019120220991231000002,20200914,1
0ANN0FER2020020120991231000002,20200914,1
0ANN0FER2020051420991231000002,20200914,1
0INV0FER2019120220991231000002,20200914,1
0INV0FER2020091420991231000002,20200914,1
SCOLFESA2017091320991231000002,20200914,1
SCOLFESA2019012120991231000002,20200914,1
0ANN0FER2020052820991231000002,20200914,1
SCOLFESA2019041320991231000002,20200914,1
0ANN0FER2010010120991231000002,20200914,1
0ANN0FER2011091220991231000002,20200914,1
0ANN0FER2013091220991231000002,20200914,1
0ANN0FER2014060920991231000002,20200914,1
0ANN0FER2015041320991231000002,20200914,1
0ANN0FER2015061120991231000002,20200914,1
0ANN0FER2017091320201126000002,20200914,1
0ANN0FER2017091320991231000002,20200914,1
0ANN0FER2020060820991231000002,20200914,1
0ANN0FER2020091420991231000002,20200914,1
0INV0FER2011091220991231000002,20200914,1
0INV0FER2014091520991231000002,20200914,1
0INV0FER2017091320991231000002,20200914,1
0INV0FER2019041320991231000002,20200914,1
SCOLFESA2019120220991231000002,20200914,1
SCOLFESA2020091420991231000002,20200914,1
SCOLFSNS2020020120991231000002,20200914,1
SCOLFSNS2020091420991231000002,20200914,1
0INV0FER2017091320201126000002,20200914,1
0INV0FER2017091320201126000002,20200915,1
SCOLFSNS2020091420991231000002,20200915,1
SCOLFSNS2020020120991231000002,20200915,1
SCOLFESA2020091420991231000002,20200915,1
SCOLFESA2019120220991231000002,20200915,1
0INV0FER2019041320991231000002,20200915,1
0INV0FER2017091320991231000002,20200915,1
0INV0FER2014091520991231000002,20200915,1
0INV0FER2011091220991231000002,20200915,1
0ANN0FER2020091420991231000002,20200915,1
0ANN0FER2020060820991231000002,20200915,1
0ANN0FER2017091320991231000002,20200915,1
0ANN0FER2017091320201126000002,20200915,1
0ANN0FER2015061120991231000002,20200915,1
0ANN0FER2015041320991231000002,20200915,1
0ANN0FER2014060920991231000002,20200915,1
0ANN0FER2013091220991231000002,20200915,1
0ANN0FER2011091220991231000002,20200915,1
0ANN0FER2010010120991231000002,20200915,1
SCOLFESA2019041320991231000002,20200915,1
0ANN0FER2020052820991231000002,20200915,1
SCOLFESA2019012120991231000002,20200915,1
SCOLFESA2017091320991231000002,20200915,1
0INV0FER2020091420991231000002,20200915,1
0INV0FER2019120220991231000002,20200915,1
0ANN0FER2020051420991231000002,20200915,1
0ANN0FER2020020120991231000002,20200915,1
0ANN0FER2019120220991231000002,20200915,1
0ANN0FER2019091120991231000002,20200915,1
0ANN0FER2018031920991231000002,20200915,1
0ANN0FER2018031920991231000002,20200916,1
0ANN0FER2019091120991231000002,20200916,1
0ANN0FER2019120220991231000002,20200916,1
0ANN0FER2020020120991231000002,20200916,1
0ANN0FER2020051420991231000002,20200916,1
0INV0FER2019120220991231000002,20200916,1
0INV0FER2020091420991231000002,20200916,1
SCOLFESA2017091320991231000002,20200916,1
SCOLFESA2019012120991231000002,20200916,1
0ANN0FER2020052820991231000002,20200916,1
SCOLFESA2019041320991231000002,20200916,1
0ANN0FER2010010120991231000002,20200916,1
0ANN0FER2011091220991231000002,20200916,1
0ANN0FER2013091220991231000002,20200916,1
0ANN0FER2014060920991231000002,20200916,1
0ANN0FER2015041320991231000002,20200916,1
0ANN0FER2015061120991231000002,20200916,1
0ANN0FER2017091320201126000002,20200916,1
0ANN0FER2017091320991231000002,20200916,1
0ANN0FER2020060820991231000002,20200916,1
0ANN0FER2020091420991231000002,20200916,1
0INV0FER2011091220991231000002,20200916,1
0INV0FER2014091520991231000002,20200916,1
0INV0FER2017091320991231000002,20200916,1
0INV0FER2019041320991231000002,20200916,1
SCOLFESA2019120220991231000002,20200916,1
SCOLFESA2020091420991231000002,20200916,1
SCOLFSNS2020020120991231000002,20200916,1
SCOLFSNS2020091420991231000002,20200916,1
0INV0FER2017091320201126000002,20200916,1
0INV0FER2017091320201126000002,20200917,1
SCOLFSNS2020091420991231000002,20200917,1
SCOLFSNS2020020120991231000002,20200917,1
SCOLFESA2020091420991231000002,20200917,1
SCOLFESA2019120220991231000002,20200917,1
0INV0FER2019041320991231000002,20200917,1
0INV0FER2017091320991231000002,20200917,1
0INV0FER2014091520991231000002,20200917,1
0INV0FER2011091220991231000002,20200917,1
0ANN0FER2020091420991231000002,20200917,1
0ANN0FER2020060820991231000002,20200917,1
0ANN0FER2017091320991231000002,20200917,1
0ANN0FER2017091320201126000002,20200917,1
0ANN0FER2015061120991231000002,20200917,1
0ANN0FER2015041320991231000002,20200917,1
0ANN0FER2014060920991231000002,20200917,1
0ANN0FER2013091220991231000002,20200917,1
0ANN0FER2011091220991231000002,20200917,1
0ANN0FER2010010120991231000002,20200917,1
SCOLFESA2019041320991231000002,20200917,1
0ANN0FER2020052820991231000002,20200917,1
SCOLFESA2019012120991231000002,20200917,1
SCOLFESA2017091320991231000002,20200917,1
0INV0FER2020091420991231000002,20200917,1
0INV0FER2019120220991231000002,20200917,1
0ANN0FER2020051420991231000002,20200917,1
0ANN0FER2020020120991231000002,20200917,1
0ANN0FER2019120220991231000002,20200917,1
0ANN0FER2019091120991231000002,20200917,1
0ANN0FER2018031920991231000002,20200917,1
0ANN0FER2018031920991231000002,20200918,1
0ANN0FER2019091120991231000002,20200918,1
0ANN0FER2019120220991231000002,20200918,1
0ANN0FER2020020120991231000002,20200918,1
0ANN0FER2020051420991231000002,20200918,1
0INV0FER2019120220991231000002,20200918,1
0INV0FER2020091420991231000002,20200918,1
SCOLFESA2017091320991231000002,20200918,1
SCOLFESA2019012120991231000002,20200918,1
0ANN0FER2020052820991231000002,20200918,1
SCOLFESA2019041320991231000002,20200918,1
0ANN0FER2010010120991231000002,20200918,1
0ANN0FER2011091220991231000002,20200918,1
0ANN0FER2013091220991231000002,20200918,1
0ANN0FER2014060920991231000002,20200918,1
0ANN0FER2015041320991231000002,20200918,1
0ANN0FER2015061120991231000002,20200918,1
0ANN0FER2017091320201126000002,20200918,1
0ANN0FER2017091320991231000002,20200918,1
0ANN0FER2020060820991231000002,20200918,1
0ANN0FER2020091420991231000002,20200918,1
0INV0FER2011091220991231000002,20200918,1
0INV0FER2014091520991231000002,20200918,1
0INV0FER2017091320991231000002,20200918,1
0INV0FER2019041320991231000002,20200918,1
SCOLFESA2019120220991231000002,20200918,1
SCOLFESA2020091420991231000002,20200918,1
SCOLFSNS2020020120991231000002,20200918,1
SCOLFSNS2020091420991231000002,20200918,1
0INV0FER2017091320201126000002,20200918,1
SCOLFESA2020091420991231000002,20200919,1
SCOLFESA2019120220991231000002,20200919,1
SCOLFESA2019041320991231000002,20200919,1
SCOLFESA2019012120991231000002,20200919,1
SCOLFESA2017091320991231000002,20200919,1
SCOLFESA2017091320991231000002,20200921,1
SCOLFESA2019012120991231000002,20200921,1
0INV0FER2020091420991231000002,20200921,1
SCOLFESA2019041320991231000002,20200921,1
0ANN0FER2020052820991231000002,20200921,1
0ANN0FER2010010120991231000002,20200921,1
0ANN0FER2013091220991231000002,20200921,1
0ANN0FER2011091220991231000002,20200921,1
0INV0FER2019120220991231000002,20200921,1
0ANN0FER2020051420991231000002,20200921,1
0ANN0FER2020020120991231000002,20200921,1
0ANN0FER2019120220991231000002,20200921,1
0ANN0FER2019091120991231000002,20200921,1
0ANN0FER2018031920991231000002,20200921,1
SCOLFESA2019120220991231000002,20200921,1
0INV0FER2019041320991231000002,20200921,1
0INV0FER2017091320991231000002,20200921,1
0INV0FER2014091520991231000002,20200921,1
SCOLFESA2020091420991231000002,20200921,1
SCOLFSNS2020020120991231000002,20200921,1
0INV0FER2017091320201126000002,20200921,1
SCOLFSNS2020091420991231000002,20200921,1
0INV0FER2011091220991231000002,20200921,1
0ANN0FER2020091420991231000002,20200921,1
0ANN0FER2020060820991231000002,20200921,1
0ANN0FER2017091320991231000002,20200921,1
0ANN0FER2017091320201126000002,20200921,1
0ANN0FER2015061120991231000002,20200921,1
0ANN0FER2015041320991231000002,20200921,1
0ANN0FER2014060920991231000002,20200921,1
0ANN0FER2014060920991231000002,20200922,1
0ANN0FER2015041320991231000002,20200922,1
0ANN0FER2015061120991231000002,20200922,1
0ANN0FER2017091320201126000002,20200922,1
0ANN0FER2017091320991231000002,20200922,1
0ANN0FER2020060820991231000002,20200922,1
0ANN0FER2020091420991231000002,20200922,1
0INV0FER2011091220991231000002,20200922,1
SCOLFSNS2020091420991231000002,20200922,1
0INV0FER2017091320201126000002,20200922,1
SCOLFSNS2020020120991231000002,20200922,1
SCOLFESA2020091420991231000002,20200922,1
0INV0FER2014091520991231000002,20200922,1
0INV0FER2017091320991231000002,20200922,1
0INV0FER2019041320991231000002,20200922,1
SCOLFESA2019120220991231000002,20200922,1
0ANN0FER2018031920991231000002,20200922,1
0ANN0FER2019091120991231000002,20200922,1
0ANN0FER2019120220991231000002,20200922,1
0ANN0FER2020020120991231000002,20200922,1
0ANN0FER2020051420991231000002,20200922,1
0INV0FER2019120220991231000002,20200922,1
0ANN0FER2011091220991231000002,20200922,1
0ANN0FER2013091220991231000002,20200922,1
0ANN0FER2010010120991231000002,20200922,1
0ANN0FER2020052820991231000002,20200922,1
SCOLFESA2019041320991231000002,20200922,1
0INV0FER2020091420991231000002,20200922,1
SCOLFESA2019012120991231000002,20200922,1
SCOLFESA2017091320991231000002,20200922,1
SCOLFESA2017091320991231000002,20200923,1
SCOLFESA2019012120991231000002,20200923,1
0INV0FER2020091420991231000002,20200923,1
SCOLFESA2019041320991231000002,20200923,1
0ANN0FER2020052820991231000002,20200923,1
0ANN0FER2010010120991231000002,20200923,1
0ANN0FER2013091220991231000002,20200923,1
0ANN0FER2011091220991231000002,20200923,1
0INV0FER2019120220991231000002,20200923,1
0ANN0FER2020051420991231000002,20200923,1
0ANN0FER2020020120991231000002,20200923,1
0ANN0FER2019120220991231000002,20200923,1
0ANN0FER2019091120991231000002,20200923,1
0ANN0FER2018031920991231000002,20200923,1
SCOLFESA2019120220991231000002,20200923,1
0INV0FER2019041320991231000002,20200923,1
0INV0FER2017091320991231000002,20200923,1
0INV0FER2014091520991231000002,20200923,1
SCOLFESA2020091420991231000002,20200923,1
SCOLFSNS2020020120991231000002,20200923,1
0INV0FER2017091320201126000002,20200923,1
SCOLFSNS2020091420991231000002,20200923,1
0INV0FER2011091220991231000002,20200923,1
0ANN0FER2020091420991231000002,20200923,1
0ANN0FER2020060820991231000002,20200923,1
0ANN0FER2017091320991231000002,20200923,1
0ANN0FER2017091320201126000002,20200923,1
0ANN0FER2015061120991231000002,20200923,1
0ANN0FER2015041320991231000002,20200923,1
0ANN0FER2014060920991231000002,20200923,1
0ANN0FER2014060920991231000002,20200924,1
0ANN0FER2015041320991231000002,20200924,1
0ANN0FER2015061120991231000002,20200924,1
0ANN0FER2017091320201126000002,20200924,1
0ANN0FER2017091320991231000002,20200924,1
0ANN0FER2020060820991231000002,20200924,1
0ANN0FER2020091420991231000002,20200924,1
0INV0FER2011091220991231000002,20200924,1
SCOLFSNS2020091420991231000002,20200924,1
0INV0FER2017091320201126000002,20200924,1
SCOLFSNS2020020120991231000002,20200924,1
SCOLFESA2020091420991231000002,20200924,1
0INV0FER2014091520991231000002,20200924,1
0INV0FER2017091320991231000002,20200924,1
0INV0FER2019041320991231000002,20200924,1
SCOLFESA2019120220991231000002,20200924,1
0ANN0FER2018031920991231000002,20200924,1
0ANN0FER2019091120991231000002,20200924,1
0ANN0FER2019120220991231000002,20200924,1
0ANN0FER2020020120991231000002,20200924,1
0ANN0FER2020051420991231000002,20200924,1
0INV0FER2019120220991231000002,20200924,1
0ANN0FER2011091220991231000002,20200924,1
0ANN0FER2013091220991231000002,20200924,1
0ANN0FER2010010120991231000002,20200924,1
0ANN0FER2020052820991231000002,20200924,1
SCOLFESA2019041320991231000002,20200924,1
0INV0FER2020091420991231000002,20200924,1
SCOLFESA2019012120991231000002,20200924,1
SCOLFESA2017091320991231000002,20200924,1
SCOLFESA2017091320991231000002,20200925,1
SCOLFESA2019012120991231000002,20200925,1
0INV0FER2020091420991231000002,20200925,1
SCOLFESA2019041320991231000002,20200925,1
0ANN0FER2020052820991231000002,20200925,1
0ANN0FER2010010120991231000002,20200925,1
0ANN0FER2013091220991231000002,20200925,1
0ANN0FER2011091220991231000002,20200925,1
0INV0FER2019120220991231000002,20200925,1
0ANN0FER2020051420991231000002,20200925,1
0ANN0FER2020020120991231000002,20200925,1
0ANN0FER2019120220991231000002,20200925,1
0ANN0FER2019091120991231000002,20200925,1
0ANN0FER2018031920991231000002,20200925,1
SCOLFESA2019120220991231000002,20200925,1
0INV0FER2019041320991231000002,20200925,1
0INV0FER2017091320991231000002,20200925,1
0INV0FER2014091520991231000002,20200925,1
SCOLFESA2020091420991231000002,20200925,1
SCOLFSNS2020020120991231000002,20200925,1
0INV0FER2017091320201126000002,20200925,1
SCOLFSNS2020091420991231000002,20200925,1
0INV0FER2011091220991231000002,20200925,1
0ANN0FER2020091420991231000002,20200925,1
0ANN0FER2020060820991231000002,20200925,1
0ANN0FER2017091320991231000002,20200925,1
0ANN0FER2017091320201126000002,20200925,1
0ANN0FER2015061120991231000002,20200925,1
0ANN0FER2015041320991231000002,20200925,1
0ANN0FER2014060920991231000002,20200925,1
SCOLFESA2020091420991231000002,20200926,1
SCOLFESA2019120220991231000002,20200926,1
SCOLFESA2019041320991231000002,20200926,1
SCOLFESA2019012120991231000002,20200926,1
SCOLFESA2017091320991231000002,20200926,1
SCOLFESA2017091320991231000002,20200928,1
SCOLFESA2019012120991231000002,20200928,1
0INV0FER2020091420991231000002,20200928,1
SCOLFESA2019041320991231000002,20200928,1
0ANN0FER2020052820991231000002,20200928,1
0ANN0FER2010010120991231000002,20200928,1
0ANN0FER2011091220991231000002,20200928,1
0ANN0FER2013091220991231000002,20200928,1
0ANN0FER2018031920991231000002,20200928,1
